Programmation culturelle - Maisons de la culture and Bibliothèques - Hiver-printemps 2017,,,,,
Toutes les activités sont gratuites,,,,,
,,,,,
Lieu,Type,Date/Heure,Titre,Description,Laissez-passez/ Inscriptions
,Musique,29 janvier à 20 h,Les couleurs de l'alto,"Marina Thibeault et Janelle Fung - Les contes de fées de Schumann et la sonate de Glinka, père de la musique classique russe en passant par Tchaikovsky et Schubert.",Laissez-passer dès le 15 janvier
,Chanson,2 février à 20 h,Puamuna,"Florent Vollant - Retour de l’icône innue, qui présente son dernier album enregistré dans sa ville natale",Laissez-passer dès le 19 janvier
,Ciné-Club panorama,8 février à 19 h 30,Un musée dans la ville,L’ONF à la maison - Réalisation : Luc Bourdon (Québec 2011 | 52 min | V.O. française) - Incursion dans les coulisses du Musée des beaux-arts de Montréal - Suivi d’une rencontre avec le réalisateur,Laissez-passer dès le 25 janvier
,Jeune public,11 février à 11 h,Babioles ,"Cabane Théâtre – 18 mois + - Fenêtre sur l’imaginaire où le langage se découvre à l’aide d’objets, de musique et de jeux",Laissez-passer dès le 28 janvier
,Musique,21 février à 20 h,Nordest Jazz Trio,"Alexandre Grogg, piano. Christophe Papadimitriou, contrebasse et composition. Pierre Tanguay, batterie - Jazz aux rythmes de swing, de tango ou de ballade",Laissez-passer dès le 7 février
,Musique,26 février à 15 h,Classiques Jazzy / Jazzy Classics,"Duo Ventapane - Violon et piano revisitent les classiques du jazz - Debussy, Ravel, Piazzolla, Rachmaninoff, Horovitz, et plusieurs autres",Laissez-passer dès le 12 février
,Ciné-club Panorama,1er mars à 19 h 30,Brasseurs - Le film,Réalisation Pierre-Luc Laganière - (Québec 2015 | 75 min | V.O. française) - Raconte le milieu brassicole québécois - Suivi d’une rencontre avec le réalisateur  - Ne manquez pas la conférence –dégustation du 22 mars ! En lien avec l’exposition YANNICK BROSSEAU – LE PANTHÉON DIEU DU CIEL !,Laissez-passer dès le 15 février
,Jeune public,6 mars à 10 h 30 (3 ans +) et à 14 h (6 ans +),Les puces de Stradivarius,Les jeunesses musicales du Canada - Congé scolaire - Musique théâtrale - Trio de violon et violoncelle,Laissez-passer dès le 20 février
,Jeune public,7 mars à 14 h,Opération Arctique,Festival International du film pour enfants (FIFEM) - (Norvège 2014 | 90 min | Version française) - Congé scolaire - Cinéma - 6 ans +,Laissez-passer dès le 20 février
,Jeune public,9 mars à 10 h 30,Le manoir magique,Festival international du film pour enfants (FIFEM) - (Belgique 2013 | 85 min | V.O. française) - Congé scolaire - Cinéma d’animation - 3 ans +,Laissez-passer dès le 20 février
,Musique,14 mars à 20 h,Meu Quelê,Isaac Neto - Une voix suave qui chante une musique inspirée de la richesse des langues du nord-est du Brésil et de la culture afro-brésilienne,Laissez-passer dès le 28 février
,Chanson,17 mars à 20 h,Le cabaret routhier,Suzanne Lainesse et Sébastien Lacombe - Cabaret animé par Philippe Routhier qui invite un artiste reconnu et un artiste émergent,Laissez-passer dès le 3 mars
,Jeune public,18 mars à 15 h 30,Créatures ,Le moulin à musique - Musique théâtrale - 4 ans +,Laissez-passer dès le 4 mars
,Musique,19 mars à 15 h 00,D'ombres et de lumières ,"Jacinthe Thibault, soprano et David Bergeron, piano - Chant lyrique créant un pont entre l’univers de Kurt Weill et le cabaret des années 1920",Laissez-passer dès le 5 mars
,Conférences,22 mars à 18 h30,Atelier sur la dégustation des bières de microbrasserie,"Martin Lamoureux - Profiter de l’expertise d’un professeur de chimie afin d’observer, humer et goûter le savoir-faire québécois • 18 ans + En lien avec l’exposition YANNICK BROSSEAU – LE PANTHÉON DIEU DU CIEL !",Inscriptions au 514-872-2398
,Ciné-club Panorama,29 mars à 19 h 30,Montréal New Wave,Réalisation : Erik Cimon (Québec 2016 | 92 min | V.O. française et anglaise) - À la rencontre des principaux personnages du mouvement qui marqua la fin de la mouvance punk à Montréal • Suivi d’une rencontre avec le réalisateur - N’oubliez pas de visiter l’exposition REC-ART célébrant les pochettes d’albums québécois ayant marqué l’histoire !,Laissez-passer dès le 15 mars
,Chanson,"1 avril de 10 h à 17 h, 2 avril de 10 h à 17 h et 3 avril de 10 h à 12 h",Destination chanson - Fleuve,"Auteurs, compositeurs et interprètes de la relève - Les auditions des festivals de la chanson de Petite-Vallée et de Tadoussac",Entrée libre
,Musique contemporaine,11 avril à 20 h,Les Amériques,"Ensemble Paramirabo - Hommage à la création d’ici et d’ailleurs avec, entre autres, les musiques de Zappa et Piazzolla arrangées par Symon Henry",Laissez-passer dès le 28 mars
,Ciné-club Panorama,19 avril à 19 h 30,Soirée cinédanse : projection et discussions,"Commissaire : Priscilla Guy, Animatrice : Valérie Lessard, Invitée : Louise Lecavalier - La danse et le cinéma convergent lors de cinq courts métrages - Dans le cadre de l’événement Québec Danse",Laissez-passer dès le 5 avril
,Théâtre,25 avril à 20 h,Le paradis n'est-il pas une bibliothèque?,Festival international de la littérature - Mise en scène : Catherine Vidal - Un voyage littéraire et visuel au coeur des bibliothèques - Avec 5 interprètes reconnu,Laissez-passer dès le 11 avril
,Jeune public,29 avril à 15 h,Le carré de sable,"Tenon Mortaise - Théâtre clownesque de marionnettes, d’objets et d’ombres - 4 ans +",Laissez-passer dès le 15 avril
,Danse,4 mai à 20 h,Ktahkomiq,Compagnie de théâtre Ondinnok - Dans le cadre du Printemps autochtone d’Art 3 ,Laissez-passer dès le 20 avril
,Jeune public,12 mai à 19 h 30,Quichotte,Ombres folles - Théâtre d’objets - 8 ans +,Laissez-passer dès le 28 avril
,ARTS VISUELS - EXPOSITIONS,,,,
,Installation,Exposition du 25 novembre 2016 au 22 janvier 2017 / Vernissage : Jeudi 24 novembre de 17 h à 19 h,Souvenir/Souvenir,Deborah Carruthers,Entrée libre
,Illustration,Exposition du 25 novembre 2016 au 22 janvier 2017 / Vernissage : Jeudi 24 novembre de 17 h à 19 h,Titre?,Daniel Ursache,Entrée libre
,Illustration,Exposition du 10 février au 9 avril 2017/ Vernissage : Jeudi 9 février de 17 h à 19 h / Projection du documentaire Brasseurs — Le film le 1er mars 19 h 30/ Atelier sur la dégustation des bières de microbrasserie avec Martin Lamoureux le 22 mars à 18 h 30,Le panthéon dieu du ciel!,Yannick Brosseau,Entrée libre
,Illustration,Exposition du 10 février au 16 avril 2017/ Vernissage : Jeudi 9 février de 17 h à 19 h/ Projection du documentaire MTL NEW WAVE le 29 mars à 19 h 30,Rec-Art - La musique comme canevas,Une exposition du Musée du Rock'n'Roll - Commissaire : Patrice Caron – pochettes d’albums québécois ayant marqué l’histoire,Entrée libre
,Installation – Exposition jeunesse,Exposition du 22 avril au 10 juin 2017/ Vernissage au Centre d'exposition Lethbridge le 10 septembre à 14h.,Les Naufrageurs,"Clément De Gaulejac - Vox, centre de l'image contemporaine - Pour les jeunes de 8 à 12 ans - Une exposition itinérante du Conseil des arts de Montréal en tournée.",Entrée libre
,,,,,
"CENTRE CULTUREL DE NOTRE-DAME-DE-GRÂCE
6400, avenue de Monkland
Montréal (Québec) H4B 1H3
Métro Vendôme et autobus 105, Ouest
Métro Villa-Maria et autobus 162 Barclay, Ouest
Heures d’ouverture :
Lundi, jeudi et vendredi : de 10 h à 18 h
Mardi et mercredi : de 12 h à 19 h 30
Samedi et dimanche : de 10 h à 17 h
",SPECTACLES ,,,,
,Multidisciplinaire,20 janvier à 17 h,Lancement de saison ,Détails à venir - Événement festif avec performances surprises - Ouvert à tous,Entrée libre
,Chanson,27 janvier à 20 h,Femmes de soul / Women of Soul,"Sylvie DesGroseilliers - Interprète extraordinaire qui, accompagnée de quatre musiciens et de deux choristes, rend un hommage vibrant aux grandes chanteuses noires",Laissez-passer dès le 13 janvier
,Jeune public,28 janvier à 15 h,Clap ,Centre de recherche en art clownesque (CRAC) - Théâtre clownesque qui met du baume au coeur - Sans paroles - 5 ans +,Laissez-passer dès le 14 janvier
,Cinéma,31 janvier à 19 h,"Tel père, tel fils - (Soshite Chichi ni Naru) ",Scénario et réalisation : Kore-eda Hirokazu (Japon 2013 | 150 min | V.O. japonaise s.-t. français) - Un architecte et sa femme apprennent que leur fils de six ans a été échangé à la naissance,Laissez-passer dès le 17 janvier
,Musique,7 février à 20 h,Satie Variations ,"Cordâme - Prix Accès culture 2016-2017 - Piano, harpe, violon, violoncelle, contrebasse et percussions",Laissez-passer dès le 24 janvier
,Danse,9 février à 20 h,Foutrement,Compagnie Virginie Brunelle - Trois interprètes s’entre-déchirent en cherchant l’amour et exposent ainsi leur vulnérabilité • Nudité - Attention : pour adulte seulement,Laissez-passer dès le 26 janvier
,Jeune public,18 février à 15 h,Au train où vont les choses,Les chemins errants – Théâtre musical – 4 ans +,Laissez-passer dès le 4 février
,Musique,19 février à 15 h,Stéphane Tétreault et Marie-Ève Scarfone,Deux jeunes musiciens virtuoses dont la complicité donne naissance à d’inoubliables moments musicaux - Violoncelle et piano ,Laissez-passer dès le 5 février
,Danse,24 février à 19 h 30,Dans ta tête et six pieds sur terre,Maï (g) wenn et les Orteils - Chorégraphie alliant danse et gigue contemporaine - Grand public dès 8 ans,Laissez-passer dès le 10 février
,Cinéma,28 février à 19 h,Léviathan (Leviafan),Réalisation : Andrey Zvyagintsev (Russie 2014 | 140 min | V.O. russe s.-t. français) - Transposition d’un fait divers américain dans la Russie cauchemardesque de Vladimir Poutine,Réservation immédiate
,Jeune public,1er avril à 15 h,Partout ailleurs,Théâtre de l’Avant-Pays - Théâtre - 7 ans +,Laissez-passer dès le 18 mars
,Cinéma,4 avril à 19 h,Le fils de Saul (Saul Fia),"Réalisation : László Nemes (Hongrie 2015 | 113 min | V.O. hongroise s.-t. français) - Octobre 1944, deux journées dans la vie de Saul Ausländer, prisonnier juif hongrois à Auschwitz",Laissez-passer dès le 21 mars
,Théâtre anglais,8 avril à 19 h 30,Bus Stops,"Théâtre I.N.K. - Un autobus de ville avec, à son bord, une quarantaine de vies – une belle prise de conscience de nos préjugés - Grand public dès 14 ans",Laissez-passer dès le 25 mars
,Danse,21 avril à 19 h 30,Nobody likes a Pixelated Squid,Danse Tentacle Tribe - Un duo magnétique inspiré de la fluidité des mouvements de créatures terrestres et aquatiques - Grand public dès 10 ans,Laissez-passer dès le 7 avril
,Jeune public,22 avril à 15 h,Tendre,Créations Estelle Clareton - Danse - 5 ans +,Laissez-passer dès le 8 avril
,Musique,30 avril à 15 h,Voyage Tango,El Trio Argentino et Flavia Garcia,Laissez-passer dès le 16 avril
,Cinéma,2 mai à 19 h,La grande beauté (La grande bellezza),"Réalisation : Paolo Sorrentino (Italie 2013 | 141 min | V.O. italienne s.-t. français) - Jep est à la recherche de sens, entre fêtes et balades au coeur de Rome, amour, sexe, esthétisme, souvenirs, mort et religion s’entrecroisent",Laissez-passer dès le 18 avril
,Théâtre,5 mai à 19 h 30,"Devant moi, le ciel",DynamO Théâtre - Théâtre acrobatique et jeu clownesque où la poésie se mêle au réel - Sans paroles - Grand public dès 10 ans,Laissez-passer dès le 21 avril
,Musique,11 mai à 19 h 30,Lancement du festival Les saisons russes de Montréal,Tchaïkovski et Rachmaninov,Laissez-passer dès le 27 avril
,ARTS VISUELS - EXPOSITIONS,,,,
,Estampe-installation,Du 9 décembre 2016 au 22 janvier 2017/ Vernissage : 8 décembre de 17 h à 19 h,Impressions de soi,Talleen Hacikyan,Entrée libre
,Installation textile et dessin,"Du 27 janvier au 12 mars 2017/ Vernissage : Jeudi 2 février de 17 h à 19 h/ Performance en galerie les jeudis 2 février, 16 février et le 2 mars de 10 h 30 à 17 h 30",Susurrantes,Estela Lòpez Solìs,Entrée libre
,,,,,
"Bibliothèque Benny
6400, avenue de Monkland, Montréal (Québec) H4B 1H3
Vendôme et 105, Ouest ou Villa-Maria et 162 Westminster, Ouest 
Heures d’ouverture
Lundi, jeudi et vendredi : de 10 h à 18 h
Mardi et mercredi : de 12 h à 19 h 30 
Samedi et dimanche : de 10 h à 17 h",JEUNES Inscription par téléphone au 514 872-4636 ou au bureau d’aide aux lecteurs jeunesse,,,,
,Jeux de société,Tous les jeudis de janvier à mai de 15 h 30 à 17 h,Les Jeudis ludiques,8 à 13 ans,Entrée libre
,Jeux vidéo,Tous les vendredis de janvier à mai de 15 h 30 à 17 h 30,Les Vendredis du gamer : Jeux vidéo libres,8 à 13 ans,Entrée libre
,Heure du conte,"14 janvier, 4 et 11 février, 4 et 11 mars, 1er, 8 et 29 avril, 6 et 27 mai et 3 juin à 10 h 30",Heure du conte,3 à 5 ans,Inscription un mois avant chaque activité
,Heure du conte,"15 et 28 janvier, 25 février, 12 et 25 mars, 22 avril, 7 et 20 mai et 4 juin à 10 h 30",Storytime! (Bilingue),3 à 5 ans,Inscription un mois avant chaque activité
,Jeux,"15 et 29 janvier, 12 et 26 février, 12 et 26 mars, 9 et 23 avril, 7 et 21 mai et 4 juin de 13 h à 16 h",Chess Club (en anglais),5 ans + - Présenté par Steven Rosenstein,Entrée libre
,Heure du conte,"21 janvier, 18 février, 18 mars, 13 mai et 10 juin à 10 h 30",Tout petits contes,18 mois à 3 ans,Inscription un mois avant chaque activité
,Atelier créatif,"21 janvier, 18 février, 18 mars, 22 avril et 20 mai",Ruche d’art Pop up,Pour tous - Avec La Ruche d’Art NDG,Entrée libre
,Contes,21 janvier à 14 h,Kamishibaï : Histoires d’hiver,6 à 9 ans - Présenté par Le Théâtre du Cerisier,Inscription dès le 21 décembre
,Atelier,"22 janvier, 19 février, 19 mars, 14 mai et 11 juin à 10 h 30",Éveil aux livres et à la musique,6 à 18 mois - Présenté par Catherine Lévesque,Inscription un mois avant chaque activité
,Heure du conte,"26 janvier, 23 février, 23 mars, 20 avril et 18 mai à 10 h 30",Les Tout petits petons,0 à 2 ans,Inscription un mois avant chaque activité
,Club de lecture,28 janvier et 18 février à 14 h,La vie des autres : les biographies à l’honneur,8 à 10 ans,Inscription dès le 28 décembre
,Heure du conte,"29 janvier, 26 mars, 23 avril et 21 mai à 10 h 30",L’heure du conte en mandarin,3 à 6 ans - Présenté par Yu Lin Tung - Activités présentées grâce au soutien financier des Amis des bibliothèques de Montréal,Inscription un mois avant chaque activité
,Atelier,"5 février, 2 et 30 avril et 28 mai à 10 h 30",Science Playground (en anglais),3 à 6 ans - Présenté par Steven Rosenstein,Inscription un mois avant chaque activité
,Bricolage,5 février de 13 h à 16 h,Bricolages festifs pour la première année de la Bibliothèque Benny,4 à 13 ans,Entrée libre
,Contes,11 février à 14 h,Contes africains,7 à 12 ans - Présenté par Rythme du Baobab - Dans le cadre du Mois de l’histoire des Noirs,Inscription dès le 11 janvier
,Heure du conte,12 février et 9 avril à 10 h 30,L’heure du conte en espagnol,3 à 6 ans,Inscription un mois avant chaque activité
,Atelier informatique,25 février à 14 h,Scratch (bilingue),7 à 9 ans - Présenté par Kids Code jeunesse,Inscription dès le 25 janvier
,Jeux de société,26 février et 5 mars à 10 h 30,Tout petits jeux,4 et 5 ans - Dans le cadre du Festival Montréal joue,Inscription dès le 26 janvier
,Jeux,"27 et 28 février, et 1er mars dès 13 h",Casse-têtes en cours,4 ans + - Dans le cadre du Festival Montréal joue,Entrée libre
,Jeux vidéo,3 et 10 mars à 15 h 30,Tournoi FIFA,8 à 13 ans - Dans le cadre du Festival Montréal joue,Inscription dès le 3 février
,Jeux vidéo,4 mars à 14 h,Tournoi Just Dance,8 à 13 ans - Dans le cadre du Festival Montréal joue,Inscription dès le 4 février
,Jeux de société,7 mars à 14 h,Jeux de mots,8 à 13 ans - Dans le cadre du Festival Montréal joue,Inscription dès le 7 février
,Jeux de société,8 mars à 14 h,"Clue, Scotland Yard et autres enquêtes",8 à 13 ans,Inscription dès le 8 février
,Jeux de société,9 mars à 14 h,Initiation au jeu de GO,8 à 13 ans - Dans le cadre du Festival Montréal joue ,Inscription dès le 9 février
,Jeux de société,11 mars à 14 h,La Caravane ludique,7 ans + - Présenté par Randolph Animation - Dans le cadre du Festival Montréal joue,Inscription dès le 11 février
,Concours,Du 13 au 31 mars,La poésie est sur le dos,5 à 13 ans - Petits prix de poésie dans CDN-NDG - Dans le cadre du Festival J’aime la poésie,Inscription dès maintenant
,Atelier littéraire,18 mars à 14 h,Poésie ludique : dans ma cour !,7 ans + - Présenté par Maryse Perron - Dans le cadre du Festival J’aime la poésie,Inscription dès le 18 février
,Atelier,25 mars à 14 h,Vert smoothie,7 à 10 ans - Dans le cadre du Mois de la nutrition,Inscription dès le 25 février
,Bricolage collectif,Du 1er au 30 avril,Murale j’aime Montréal,3 à 13 ans - Dis-nous pourquoi tu aimes Montréal ! - Dans le cadre des Festivités du 375e anniversaire de Montréal,Inscription dès maintenant
,Contes et bricolage ,2 avril à 14 h,Histoires et oeufs de Pâques,6 à 8 ans,Inscription dès le 2 mars
,Atelier informatique,8 avril à 14 h,HTML (bilingue),8 à 10 ans - Présenté par Kids Code jeunesse,Inscription dès le 8 mars
,Atelier informatique ,8 avril à 14 h,Scratch junior (bilingue),5 à 7 ans - Présenté par Kids Code jeunesse,Inscription dès le 8 mars
,Atelier de danse,22 avril à 14 h,Gumboot,6 à 12 ans - Présenté par Rythme du Baobab,Inscription dès le 22 mars
,Contes,30 avril à 14 h,Contemos historias : lectures partagées en espagnol,6 à 9 ans,Inscription dès le 30 mars
,Club de lecture,6 et 20 mai à 14 h,C’est vraiment trop bête ! La BD animalière,11 à 13 ans,Inscription dès le 6 avril
,Atelier,28 mai à 14 h,BD trouée,8 à 10 ans,Inscription dès le 28 avril
,ADOLESCENTS Inscription par téléphone au 514 872-4636,,,,
,Jeux vidéo,"Les mardis, du 7 février au 30 mai dès 16 h",Game over,14 à 18 ans,Entrée libre
,Soirée des Ados,5 mai de 18 h 30 à 21 h 30,Soirée des Ados,12 à 17 ans - Activité réservée aux ados,Inscription obligatoire
,ADULTES Inscription par téléphone au 514 872-4147,,,,
,Club de lecture en anglais,"10 janvier, 7 février, 7 mars, 4 avril et 2 mai à 10 h",Benny Book Club,Adultes,Inscription dès maintenant
,Club de tricot / Knitting club,"14 et 28 janvier, 11 et 25 février, 11 et 25 mars, 8 et 22 avril et 6 et 20 mai de 13 h à 16 h",Club de tricot / Knitting club,Adultes - Tous – des débutants aux experts – sont invités à venir tricoter et échanger,Inscription dès maintenant
,Atelier informatique en français,"Un mardi sur deux, dès le 17 janvier de 13 h à 15 h",Littératie numérique ,"Adultes - Débutants - Suite de quatre périodes d’introduction à l’informatique, à Internet, au courriel et aux iPad",Inscription dès maintenant
,Computer workshop in English,"Every Wednesday, starting January 18, from 1 p.m. to 3 p.m.",Digital Literacy Primer,"Adults - Beginnner - Four-session primer to computers, the Internet, e-mail and iPads",Inscription dès maintenant
,Atelier informatique,January 24 (in English) et 7 février (en français) from/de 13 h to/à 15 h,Réseaux sociaux / Social Networks,Adultes - Intermédiaires,Inscription dès maintenant
,Atelier de lecture,"28 janvier, 11 et 25 février, 11 et 25 mars, et 8 et 22 avril à 10 h",Mots partagés,Adultes - Présenté par Béatrice Swift - Échanges littéraires entre francophones et apprenants,Inscription dès maintenant
,Conférence en français,28 janvier à 14 h,Rénovations écoénergétiques en milieu résidentiel,Adultes - Présenté par Diane Bastien,Inscription dès maintenant
,Club cinéma,"31 janvier, 28 février, 4 avril et 2 mai à 19 h",Club cinéma multiethnique,Adultes,Inscription dès maintenant
,Club de lecture en français,"1er février, 1er mars, 5 avril et 3 mai à 19 h",Club de lecture Benny,Adultes,Inscription dès maintenant
,Atelier informatique,February 21 (in English) et 7 mars (en français) from/de 13 h to/à 15 h,Prêt numérique / Ebooks,Adultes – Intermédiaires,Inscription dès maintenant
,Atelier d’écriture,"4 et 18 mars, 1er et 22 avril, et 13 et 27 mai à 13 h",Partageons nos mémoires,Adultes - Animé par Carmen Marois,Inscription dès maintenant
,Rencontre d’auteur,11 mars à 10 h,Rencontre avec Aki Shimazaki,Adultes,Inscription dès maintenant
,Conférence en français,14 mars à 19 h,Thomas Hellman - Rêver l’amérique,Adultes - Suivi du spectacle Rêves américains : de la ruée vers l’or à la Grande Crise le vendredi 31 mars,Inscription dès maintenant
,Conférence en français,15 mars à 19 h,Planification de la retraite,Adultes - Présenté par CPA Canada,Inscription dès maintenant
,Atelier informatique,March 21 (in English) et 4 avril (en français) from/de 13 h to/à 15 h,Microsoft Office,Adultes – Intermédiaires,Inscription dès maintenant
,Atelier informatique,April 18 (in English) et 2 mai (en français) from/de 13 h to/à 15 h,Ipad,Adultes - Intermédiaires,Inscription dès maintenant
,Conférence en anglais,25 avril à 19 h,Au-delà des symptômes moteurs,Adultes - Présenté par Parkinson Montréal Laval,Inscription dès maintenant
,Rencontre d’auteur,20 mai à 14 h,"Rencontre avec Zviane, auteure de bandes dessinées","Adultes - Dans le cadre de Mai, mois de la BD dans les Bibliothèques de Montréal",Inscription dès maintenant
,POUR TOUS Inscription par téléphone au 514 872-4147,,,,
,Atelier créatif,"21 janvier, 18 février, 18 mars, 22 avril et 20 mai de 10 h à 16 h",Ruche d’art Pop up,Pour tous - Avec La Ruche d’Art NDG,Entrée libre
,Benny Fab,Les mercredis de 16 h à 19 h et les dimanches de 13 h à 16 h,Périodes d’accès libre,"Fab lab pour tous - Initiation aux technologies de fabrication, réalisation de projets personnels ou collectifs",Inscription dès le 15 janvier
,Benny Fab,Les mardis de 15 h à 18 h,Accès sur demande,Fab lab pour tous - Profitez d’une période additionnelle pour peaufiner vos réalisations.,Inscription dès le 17 janvier
,Benny Fab,Les dimanches de 10 h à 13 h,Clubs Maker,"Fab lab pour tous - Clubs de robotique, d’électronique, de modélisation 3D et de conception de jeux vidéo. Activitée mensuelle",Inscription dès le 15 janvier
,,,,,
